"Nombre corto","Nombre","Año","Categoría","DOCENTE VIRTUAL","DOCENTE PRACTICO","Teórico Virtual (inicio)","Teórico Virtual (fin)","Instancia Presencial (inicio)","Presencial (fin)","Programado ","Mes","CET","ESTADO","Coordinador TRA","Observaciones","UTE Ó UTU","Relizado","Inscriptos","Modificado","Modificado por"
"EDMYC","Equipos de Maniobras y Corte",,,"[""R. RODRIGUEZ"",""J.BARATTINI""]","[""A. GATTO"",""E. VARELA""]","16/12/2024","18/12/2024","20/12/2024",,"Verdadero","Diciembre 2024","[""Melilla""]","SUSPENDIDO","[""R.Rodriguez""]",,"UTE","False",,"13/12/2024 4:46","Camarri Cabrera, Angela Abigail"
"INTNGMB","Interruptores NG y NMG SB6",,,"[""A. Pietrafesa""]",,,,"11/12/2024","11/12/2024","Verdadero","Diciembre 2024","[""Melilla""]","CURSO REALIZADO","[""F.Patrone""]","Validación del curso","UTE","False",,"07/01/2025 5:42","Patrone, Federico"
"TEAM5","Tarea en Altura Torres",,,"[""R. BORDENAVE"",""COSTA WALTER"",""CLAVIJO JHORDAN""]",,"10/12/2024","10/12/2024",,,"Verdadero","Diciembre 2024","[""Virtual""]","CONFIRMADO INSTRUCTOR","[""R.Rodriguez""]",,"UTU","False",,"27/11/2024 3:48","Rodriguez, Robinson"
"TEAM5","Tarea en Altura Torres",,,,"[""R. BORDENAVE"",""COSTA WALTER"",""CLAVIJO JHORDAN""]",,,"11/12/2024","12/12/2024","False","Diciembre 2024","[""Paso de los Toros""]","CONFIRMADO INSTRUC. Y CET","[""R.Rodriguez""]",,"UTU","False",,"27/11/2024 3:49","Rodriguez, Robinson"
"TEAM7","Tarea en altura Equipos de Potencia",,,,"[""E. VARELA""]",,,"13/12/2024","13/12/2024","Verdadero","Diciembre 2024","[""Paso de los Toros""]","CONFIRMADO INSTRUC. Y CET","[""R.Rodriguez""]",,"UTU","False",,"27/11/2024 3:46","Rodriguez, Robinson"
"FUELOP3","Fundamentos Eléctricos (Módulo 3)",,,"[""A. MUSETTI""]",,"12/12/2024","17/12/2024",,,"Verdadero","Diciembre 2024","[""Virtual""]","INSCRIPCIONES REALIZADAS","[""F.Patrone""]","Son 2 días 12 6y 17.
Participan TRA y DCU. ","UTE","False",,"13/12/2024 4:47","Camarri Cabrera, Angela Abigail"
"TECESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""M. ROMERO"",""TECNICO SYSO""]",,"09/12/2024","10/12/2024",,,"Verdadero","Diciembre 2024","[""Virtual""]","CURSO REALIZADO",,"CURSO COORDINADO POR FORMACIÓN.
CURSO PARA UTU-UTE TRAYECTO-UTE","UTU","Verdadero",,"10/12/2024 2:59","Romero Ramirez, Diego Miguel"
"TPYRRMB","Trasformadores y Reactores de Potencia MB",,,"[""A. GATTO""]",,"17/12/2024","18/12/2024",,,"Verdadero","Diciembre 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","I. PONCE como segundo instructor ","UTE","False",,"18/12/2024 5:57","Camarri Cabrera, Angela Abigail"
"TECESM1","Trabajo en Condiciones Eléctricamente Seguras Modulo 1",,,,"[""M. ROMERO"",""R. TORRES""]",,,"20/01/2025","21/01/2025","False",,"[""Melilla""]",,"[""M. Romero""]",,,"False",,"07/01/2025 5:40","Romero Ramirez, Diego Miguel"
"CSEPTRA","Componentes y conf. del SEP de TRA","2025","Proyecto TRA","[""R. RODRIGUEZ"",""A. GATTO""]","[""A. GATTO"",""A. MUSETTI""]","24/06/2025","25/06/2025","27/06/2025","27/06/2025","Verdadero","Junio 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:19","Camarri Cabrera, Angela Abigail"
"CSEPTRA","Componentes y conf. del SEP de TRA","2025","Proyecto TRA","[""A. GATTO"",""R. RODRIGUEZ""]","[""R. RODRIGUEZ"",""A. GATTO""]","05/08/2025","06/08/2025","08/08/2025","08/08/2025","Verdadero","Agosto 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:13","Camarri Cabrera, Angela Abigail"
"CSEPTRA","Componentes y conf. del SEP de TRA","2025","Proyecto TRA","[""R. RODRIGUEZ"",""A. GATTO""]","[""A. GATTO"",""J.BARATTINI""]","19/08/2025","20/08/2025","22/08/2025","22/08/2025","Verdadero","Agosto 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:14","Camarri Cabrera, Angela Abigail"
"CSEPTRA","Componentes y conf. del SEP de TRA","2025","Proyecto TRA","[""R. RODRIGUEZ"",""A. GATTO"",""J.BARATTINI""]","[""A. GATTO"",""J.BARATTINI""]","02/09/2025","03/09/2025","05/09/2025","05/09/2025","Verdadero","Setiembre 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto""]","El 2/9 lo dicta José Barattini y Andrés Gatto ","UTE","False",,"23/09/2025 4:23","Camarri Cabrera, Angela Abigail"
"EDMYCAT","Equipos de maniobra y corte de AT y EAT","2025","Proyecto TRA","[""M. ROMERO"",""J.BARATTINI""]","[""M. ROMERO"",""R. RODRIGUEZ""]","21/04/2025","23/04/2025","25/04/2025","25/04/2025","Verdadero","Abril 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""R.Rodriguez""]",,"UTE","False",,"30/04/2025 3:52","Camarri Cabrera, Angela Abigail"
"EDMYCAT","Equipos de maniobra y corte de AT y EAT","2025","Proyecto TRA","[""A. GATTO"",""R. RODRIGUEZ""]","[""A. GATTO"",""J.BARATTINI""]","28/07/2025","30/07/2025","01/08/2025","01/08/2025","Verdadero","Julio 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:11","Camarri Cabrera, Angela Abigail"
"EDMYCAT","Equipos de maniobra y corte de AT y EAT","2025","Proyecto TRA","[""A. GATTO"",""R. RODRIGUEZ""]","[""R. RODRIGUEZ"",""A. GATTO""]","26/08/2025","28/08/2025","01/09/2025","01/09/2025","Verdadero","Agosto 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:14","Camarri Cabrera, Angela Abigail"
"FUELBA1","Fundamentos electricos TRA - Modulo 1","2025","Proyecto TRA","[""R. RODRIGUEZ""]",,"09/04/2025","12/05/2025",,,"Verdadero","Abril 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez""]",,"UTE","False",,"30/04/2025 3:51","Camarri Cabrera, Angela Abigail"
"FUELAV2","Fundamentos electricos TRA - Modulo 2","2025","Proyecto TRA","[""R. RODRIGUEZ""]",,"14/05/2025","30/05/2025",,,"Verdadero","Mayo 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez""]",,"UTE","False",,"09/07/2025 5:13","Camarri Cabrera, Angela Abigail"
"IPLANOS","Interpretación de planos y resolución de fallas","2025","Proyecto TRA","[""G. CHARBONNIER"",""J.BARATTINI""]","[""G. CHARBONNIER"",""J.BARATTINI""]","26/05/2025","28/05/2025","29/05/2025","30/05/2025","Verdadero","Mayo 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""J.Barattini"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:13","Camarri Cabrera, Angela Abigail"
"IPLANOS","Interpretación de planos y resolución de fallas","2025","Proyecto TRA","[""J. PLACERES"",""J.BARATTINI""]","[""J. PLACERES"",""J.BARATTINI""]","07/07/2025","09/07/2025","10/07/2025","11/07/2025","Verdadero","Julio 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""J.Barattini"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:11","Camarri Cabrera, Angela Abigail"
"IPLANOS","Interpretación de planos y resolución de fallas","2025","Proyecto TRA","[""J. PLACERES"",""F.GARCIA""]","[""J. PLACERES"",""F.GARCIA""]","06/10/2025","08/10/2025","09/10/2025","10/10/2025","Verdadero","Octubre 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/10/2025 6:36","Gomez Pena, Laura Florencia"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI""]",,"31/01/2025","05/02/2025",,,"Verdadero","Enero 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"21/02/2025 4:22","Nogueira Yañez, Libertad"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI""]",,"19/03/2025","20/03/2025",,,"Verdadero","Marzo 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"03/04/2025 4:06","Patrone, Federico"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI"",""D. ALVEZ""]",,"27/03/2025","28/03/2025",,,"Verdadero","Marzo 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"08/04/2025 9:26","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""D. ALVEZ""]",,"07/04/2025","08/04/2025",,,"Verdadero","Abril 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"08/04/2025 9:29","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""D. ALVEZ""]",,"10/04/2025","11/04/2025",,,"Verdadero","Abril 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"30/04/2025 3:52","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI""]",,"22/05/2025","23/05/2025",,,"Verdadero","Mayo 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:13","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI""]",,"04/06/2025","05/06/2025",,,"Verdadero","Junio 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:19","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""R. RODRIGUEZ""]",,"16/06/2025","17/06/2025",,,"Verdadero","Junio 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:19","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""J.BARATTINI"",""V. ORFILA""]",,"26/06/2025","27/06/2025",,,"Verdadero","Junio 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:19","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""R. RODRIGUEZ""]",,"14/07/2025","15/07/2025",,,"Verdadero","Julio 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:12","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""R. RODRIGUEZ""]",,"21/07/2025","22/07/2025",,,"Verdadero","Julio 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:12","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI""]",,"28/07/2025","29/07/2025",,,"Verdadero","Julio 2025","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:12","Camarri Cabrera, Angela Abigail"
"INSISEP","Intro. al sistema eléctrico","2025","Proyecto TRA","[""M. TRECCA"",""J.BARATTINI""]",,"18/08/2025","19/08/2025",,,"Verdadero","Agosto 2025","[""Virtual""]","SUSPENDIDO",,"Sin participantes del Plan - definir si damos de baja","UTE","False",,"22/05/2025 7:08","Camarri Cabrera, Angela Abigail"
"MOLATMB","Mantenimiento de Líneas Aéreas AT y EAT Módulo Base","2025","Proyecto TRA","[""J.BIANCHI"",""V. ORFILA""]",,"15/09/2025","17/09/2025",,,"Verdadero","Setiembre 2025","[""Virtual""]","CURSO REALIZADO","[""L. Gómez""]",,"UTE","False",,"23/09/2025 4:23","Camarri Cabrera, Angela Abigail"
"MOLATMB","Mantenimiento de Líneas Aéreas AT y EAT Módulo Base","2025","Proyecto TRA","[""J.BIANCHI"",""V. ORFILA""]","[""J.BIANCHI"",""V. ORFILA""]","20/10/2025","22/10/2025",,,"Verdadero","Octubre 2025","[""Virtual""]","CURSO REALIZADO","[""L. Gómez""]",,"UTE","False",,"28/10/2025 6:36","Gomez Pena, Laura Florencia"
"MOLATMB","Mantenimiento de Líneas Aéreas AT y EAT Módulo Base","2025","Proyecto TRA","[""M. MENDIZABAL"",""M.PRESTES ""]",,"10/11/2025","12/11/2025",,,"Verdadero","Noviembre 2025","[""Virtual""]","CURSO REALIZADO","[""L. Gómez"",""A. Camarri""]","Cambio de instructor: avisado FORM el 20/08","UTE","False",,"18/11/2025 2:28","Gomez Pena, Laura Florencia"
"SSAA1AC","Servicios Auxiliares AC - Módulo 1","2025","Proyecto TRA","[""V. ORFILA"",""A. GATTO""]","[""V. ORFILA"",""A. GATTO""]","03/02/2025","04/02/2025","06/02/2025","06/02/2025","Verdadero","Febrero 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri"",""A.Gatto""]","SOLO PARA PASAJE DE BANDA","UTE","False",,"21/02/2025 4:56","Nogueira Yañez, Libertad"
"SSAA1AC","Servicios Auxiliares AC - Módulo 1","2025","Proyecto TRA","[""M. ROMERO"",""J.BARATTINI""]","[""J.BARATTINI"",""A. GATTO""]","07/04/2025","08/04/2025","10/04/2025","10/04/2025","Verdadero","Abril 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"30/04/2025 3:51","Camarri Cabrera, Angela Abigail"
"SSAA1AC","Servicios Auxiliares AC - Módulo 1","2025","Proyecto TRA","[""A. GATTO"",""S.SANTANA""]","[""A. GATTO"",""S.SANTANA""]","31/03/2025","01/04/2025","03/04/2025","03/04/2025","Verdadero","Marzo 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"08/04/2025 9:26","Camarri Cabrera, Angela Abigail"
"SSAA1AC","Servicios Auxiliares AC - Módulo 1","2025","Proyecto TRA","[""A. GATTO"",""E. VARELA""]","[""A. GATTO"",""E. VARELA""]","05/05/2025","06/05/2025","08/05/2025","08/05/2025","Verdadero","Mayo 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"09/07/2025 5:13","Camarri Cabrera, Angela Abigail"
"SSAA1AC","Servicios Auxiliares AC - Módulo 1","2025","Proyecto TRA","[""A. GATTO"",""J. PLACERES""]","[""A. GATTO"",""J. PLACERES""]","09/06/2025","10/06/2025","12/06/2025","12/06/2025","Verdadero","Junio 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"09/07/2025 5:20","Camarri Cabrera, Angela Abigail"
"SSAA1AC","Servicios Auxiliares AC - Módulo 1","2025","Proyecto TRA","[""A. GATTO"",""E. VARELA""]","[""E. VARELA"",""A. GATTO""]","04/08/2025","05/08/2025","07/08/2025","07/08/2025","Verdadero","Agosto 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"01/09/2025 5:14","Camarri Cabrera, Angela Abigail"
"SSAA2CC","Servicios Auxiliares CC - Módulo 2","2025","Proyecto TRA","[""G. CHARBONNIER"",""A. GATTO""]","[""A. GATTO"",""G. CHARBONNIER""]","10/02/2025","11/02/2025","13/02/2025","13/02/2025","Verdadero","Febrero 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]","SOLO PARA PASAJE DE BANDA","UTE","False",,"21/02/2025 5:00","Nogueira Yañez, Libertad"
"SSAA2CC","Servicios Auxiliares CC - Módulo 2","2025","Proyecto TRA","[""A. GATTO"",""J. PLACERES""]","[""A. GATTO"",""J. PLACERES""]","17/03/2025","18/03/2025","28/03/2025","28/03/2025","Verdadero","Marzo 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"08/04/2025 9:25","Camarri Cabrera, Angela Abigail"
"SSAA2CC","Servicios Auxiliares CC - Módulo 2","2025","Proyecto TRA","[""A. GATTO"",""E. VARELA""]","[""A. GATTO"",""E. VARELA""]","21/04/2025","22/04/2025","24/04/2025","24/04/2025","Verdadero","Abril 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"30/04/2025 3:52","Camarri Cabrera, Angela Abigail"
"SSAA2CC","Servicios Auxiliares CC - Módulo 2","2025","Proyecto TRA","[""A. GATTO"",""J. PLACERES""]","[""A. GATTO"",""J. PLACERES""]","13/05/2025","14/05/2025","16/05/2025","16/05/2025","Verdadero","Mayo 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"09/07/2025 5:13","Camarri Cabrera, Angela Abigail"
"TEALTM7","Tarea en altura - Equipos de Potencia","2025","Proyecto TRA",,"[""E. VARELA"",""A. GATTO""]",,,"07/04/2025","07/04/2025","Verdadero","Abril 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"08/04/2025 9:28","Camarri Cabrera, Angela Abigail"
"TEALTM7","Tarea en altura - Equipos de Potencia","2025","Proyecto TRA",,"[""E. VARELA"",""M. MENDIZABAL""]",,,"29/05/2025","29/05/2025","Verdadero","Mayo 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"09/07/2025 5:13","Camarri Cabrera, Angela Abigail"
"TEALTM7","Tarea en altura - Equipos de Potencia","2025","Proyecto TRA",,"[""M. MENDIZABAL"",""E. VARELA""]",,,"01/07/2025","01/07/2025","Verdadero","Julio 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"01/09/2025 5:12","Camarri Cabrera, Angela Abigail"
"TEALTM7","Tarea en altura - Equipos de Potencia","2025","Proyecto TRA",,"[""M. ROMERO"",""E. VARELA""]",,,"09/07/2025","09/07/2025","Verdadero","Julio 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"19/08/2025 3:55","Camarri Cabrera, Angela Abigail"
"TEALTM7","Tarea en altura - Equipos de Potencia","2025","Proyecto TRA",,"[""M. ROMERO"",""E. VARELA""]",,,"22/08/2025","22/08/2025","Verdadero","Agosto 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"01/09/2025 5:14","Camarri Cabrera, Angela Abigail"
"TEALTM6","Tarea en altura - Módulo Barquilla","2025","Proyecto TRA",,"[""F. AROCHA"",""J. BRIOSSO""]",,,"23/09/2025","23/09/2025","Verdadero","Setiembre 2025","[""Punta del Tigre""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/10/2025 6:39","Gomez Pena, Laura Florencia"
"TEALTM6","Tarea en altura - Módulo Barquilla","2025","Proyecto TRA",,"[""M. PAEZ"",""J. BRIOSSO""]",,,"30/09/2025","30/09/2025","Verdadero","Setiembre 2025","[""Punta del Tigre""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/10/2025 6:39","Gomez Pena, Laura Florencia"
"TEALTM6","Tarea en altura - Módulo Barquilla","2025","Proyecto TRA",,"[""M. PAEZ"",""J. BRIOSSO""]",,,"14/10/2025","14/10/2025","Verdadero","Octubre 2025","[""Punta del Tigre""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/10/2025 6:39","Gomez Pena, Laura Florencia"
"TEALTM5","Tarea en altura - Módulo Torres","2025","Proyecto TRA","[""R.GARRIDO"",""R. FIGUEIRA"",""TECNICO SYSO""]","[""R.GARRIDO"",""R. FIGUEIRA""]","01/10/2025","01/10/2025","02/10/2025","03/10/2025","Verdadero","Octubre 2025","[""Melilla"",""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/10/2025 6:43","Gomez Pena, Laura Florencia"
"TEALTMB","Tarea en altura Módulo Base","2025","Proyecto TRA","[""M. ROMERO"",""TECNICO SYSO""]",,"24/03/2025","25/03/2025",,,"Verdadero","Marzo 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"08/04/2025 9:26","Camarri Cabrera, Angela Abigail"
"TEALTMB","Tarea en altura Módulo Base","2025","Proyecto TRA","[""M. ROMERO"",""TECNICO SYSO""]",,"28/04/2025","29/04/2025",,,"Verdadero","Abril 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"30/04/2025 3:53","Camarri Cabrera, Angela Abigail"
"TEALTMB","Tarea en altura Módulo Base","2025","Proyecto TRA","[""M. ROMERO"",""TECNICO SYSO""]",,"19/05/2025","20/05/2025",,,"Verdadero","Mayo 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/05/2025 6:27","Romero Ramirez, Diego Miguel"
"TEALTMB","Tarea en altura Módulo Base","2025","Proyecto TRA","[""M. ROMERO"",""TECNICO SYSO""]",,"02/06/2025","03/06/2025",,,"Verdadero","Junio 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"09/07/2025 5:20","Camarri Cabrera, Angela Abigail"
"TEALTMB","Tarea en altura Módulo Base","2025","Proyecto TRA","[""M. ROMERO"",""TECNICO SYSO""]",,"23/06/2025","24/06/2025",,,"Verdadero","Junio 2025","[""Virtual""]","SUSPENDIDO","[""A. Camarri""]","Asistieron solo 4 personas ","UTE","False",,"09/07/2025 5:17","Camarri Cabrera, Angela Abigail"
"TECESMB","TECES - Módulo Base","2025","Proyecto TRA","[""M. ROMERO"",""TECNICO SYSO""]",,"27/02/2025","28/02/2025",,,"Verdadero","Febrero 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/02/2025 2:32","Romero Ramirez, Diego Miguel"
"TECESMB","TECES - Módulo Base","2025","Proyecto TRA","[""TECNICO SYSO"",""M. ROMERO""]",,"17/03/2025","18/03/2025",,,"Verdadero","Marzo 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri"",""R.Rodriguez""]",,"UTE","False",,"08/04/2025 9:25","Camarri Cabrera, Angela Abigail"
"TECESM2","TECES - Módulo Líneas","2025","Proyecto TRA",,"[""M. ROMERO"",""M. PRESTES""]",,,"13/03/2025","14/03/2025","Verdadero","Marzo 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"27/03/2025 8:23","Romero Ramirez, Diego Miguel"
"TECESM2","TECES - Módulo Líneas","2025","Proyecto TRA",,"[""M. ROMERO"",""P. CENTURIÓN""]",,,"01/04/2025","02/04/2025","Verdadero","Abril 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"08/04/2025 9:29","Camarri Cabrera, Angela Abigail"
"TECESM2","TECES - Módulo Líneas","2025","Proyecto TRA",,"[""M. ROMERO"",""R. BORDENAVE""]",,,"22/05/2025","23/05/2025","Verdadero","Mayo 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"28/05/2025 6:28","Romero Ramirez, Diego Miguel"
"TECESM1","TECES - Módulo Subestaciones","2025","Proyecto TRA",,"[""M. ROMERO"",""A. MUSETTI""]",,,"19/03/2025","20/03/2025","Verdadero","Marzo 2025","[""Melilla""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"03/04/2025 4:05","Patrone, Federico"
"TERMOM1","Termografia Módulo 1","2025","Proyecto TRA","[""R. RODRIGUEZ"",""D. LUBENKO""]","[""R. RODRIGUEZ"",""D. LUBENKO""]","12/05/2025","13/05/2025","15/05/2025","16/05/2025","Verdadero","Mayo 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:16","Camarri Cabrera, Angela Abigail"
"TERMOM1","Termografia Módulo 1","2025","Proyecto TRA","[""R. RODRIGUEZ"",""D. LUBENKO""]","[""R. RODRIGUEZ"",""D. LUBENKO""]","30/06/2025","01/07/2025","03/07/2025","04/07/2025","Verdadero","Junio 2025","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:20","Camarri Cabrera, Angela Abigail"
"TPYRRMB","Transformadores y reactores -Módulo Base","2025","Proyecto TRA","[""A. GATTO"",""R. RODRIGUEZ""]","[""A. GATTO"",""R. RODRIGUEZ""]","17/02/2025","19/02/2025",,,"Verdadero","Febrero 2025","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","SOLO PARA PASAJE DE BANDA ","UTE","False",,"21/02/2025 4:35","Nogueira Yañez, Libertad"
"TECESMB","TECES - Módulo Base","2025","Proyecto TRA","[""R. RODRIGUEZ"",""TECNICO SYSO""]",,"21/04/2025","22/04/2025",,,"Verdadero","Abril 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"30/04/2025 3:52","Camarri Cabrera, Angela Abigail"
"TPYRRMB","Transformadores y reactores -Módulo Base","2025","Proyecto TRA","[""I.PONCE DE LEON"",""R. RODRIGUEZ""]",,"28/04/2025","29/04/2025",,,"Verdadero","Abril 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"30/04/2025 3:53","Camarri Cabrera, Angela Abigail"
"TPYRRMB","Transformadores y reactores -Módulo Base","2025","Proyecto TRA","[""R. RODRIGUEZ""]",,"26/05/2025","27/05/2025",,,"Verdadero","Mayo 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:16","Camarri Cabrera, Angela Abigail"
"TPYRRMB","Transformadores y reactores -Módulo Base","2025","Proyecto TRA","[""PONCE DE LEON"",""M. ROMERO""]",,"16/06/2025","17/06/2025",,,"Verdadero","Junio 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"09/07/2025 5:20","Camarri Cabrera, Angela Abigail"
"TPYRRMB","Transformadores y reactores -Módulo Base","2025","Proyecto TRA","[""R. RODRIGUEZ"",""J.BARATTINI""]",,"16/07/2025","17/07/2025",,,"Verdadero","Julio 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:12","Camarri Cabrera, Angela Abigail"
"TPYRRMB","Transformadores y reactores -Módulo Base","2025","Proyecto TRA","[""R. RODRIGUEZ"",""J.BARATTINI""]",,"24/07/2025","25/07/2025",,,"Verdadero","Julio 2025","[""Virtual""]","CURSO REALIZADO","[""R.Rodriguez"",""A. Camarri""]",,"UTE","False",,"01/09/2025 5:12","Camarri Cabrera, Angela Abigail"
