"Nombre corto","Nombre","Año","Categoría","DOCENTE VIRTUAL","DOCENTE PRACTICO","Teórico Virtual (inicio)","Teórico Virtual (fin)","Instancia Presencial (inicio)","Presencial (fin)","Programado ","Mes","CET","ESTADO","Coordinador TRA","Observaciones","UTE Ó UTU","Relizado","Inscriptos","Modificado","Modificado por"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""J. BRIOSSO""]",,,"28/05/2024","28/05/2024","Verdadero","Mayo 2024","[""Bonete""]","CURSO REALIZADO","[""Y.Torrado""]","Son 4 instancias consecutivas del mismo curso","UTE","False",,"29/05/2024 11:35","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""F. AROCHA""]",,,"03/05/2024","03/05/2024","Verdadero","Mayo 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""Y.Torrado""]","Son 2 instancias consecutivas del mismo curso","UTE","False",,"20/05/2024 5:53","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""F. AROCHA""]",,,"03/04/2024","03/04/2024","Verdadero","Abril 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"04/04/2024 10:12","Iguini Gargiullo, Mateo"
"RRII","Taller Gestionar Personas",,,,"[""E. SANCHEZ""]",,,,,"False",,"[""A definir""]","GESTIÓN EXTERNA",,,,"False",,"15/02/2024 18:17","Nogueira Yañez, Libertad"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""F. AROCHA""]",,,"04/02/2024",,"Verdadero","Febrero 2024","[""PTI""]","CURSO REALIZADO","[""M. Romero""]","PUNTA DEL TIGRE","UTE","False",,"20/11/2024 13:35","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""J. BRIOSSO""]",,,"25/02/2024",,"Verdadero","Febrero 2024","[""PTI""]","CURSO REALIZADO","[""M. Romero""]","PUNTA DEL TIGRE","UTE","False",,"20/11/2024 13:35","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""F. AROCHA"",""M. MENDIZABAL""]",,,"29/01/2024",,"Verdadero","Enero 2024","[""PTI""]","CURSO REALIZADO",,,"UTE","False",,"20/11/2024 13:34","Patrone, Federico"
"TEAM7","Tarea en Altura en Equipos de Potencia",,,,"[""E. VARELA"",""A. GATTO""]",,,"25/04/2024","25/04/2024","Verdadero","Abril 2024","[""Melilla""]","CURSO REALIZADO","[""M. Iguini""]",,,"False",,"08/07/2024 10:56","Nogueira Yañez, Libertad"
"RRII","Taller Gestionar Personas",,,,"[""E. SANCHEZ""]",,"31/10/2024","31/10/2024","31/10/2024","Verdadero","Octubre 2024","[""A definir""]","CURSO REALIZADO","[""A. Camarri""]","Primera instancia 31/10. Segunda 07/11. Dictado por Relaciones Internas ","UTE","Verdadero",,"31/10/2024 4:23","Patrone, Federico"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""Y. TORRADO"",""S.SANTANA""]","[""S.SANTANA"",""E. VARELA""]","06/05/2024","07/05/2024","17/05/2024","17/05/2024","Verdadero","Mayo 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"08/05/2024 7:15","Patrone, Federico"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""M. ROMERO"",""E. VARELA""]","[""M. ROMERO"",""E. VARELA""]","27/05/2024","28/05/2024","30/05/2024","30/05/2024","Verdadero","Mayo 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]","Horario de 08:00 a 15:15","UTE","False",,"03/06/2024 5:08","Patrone, Federico"
"INSEP","Introducción al SEP",,,"[""M. TRECCA"",""J.BARATTINI""]",,"06/05/2024","07/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"08/05/2024 7:14","Patrone, Federico"
"INSEP","Introducción al SEP",,,"[""M. TRECCA"",""A. GATTO""]",,"20/05/2024","21/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"24/05/2024 9:48","Patrone, Federico"
"TEAMB","Tarea en Altura Módulo Base",,,"[""TECNICO SYSO"",""A. GATTO""]",,"14/05/2024","15/05/2024",,,"Verdadero","Mayo 2024","[""Virtual""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"24/05/2024 9:47","Patrone, Federico"
"TCES2","Trabajo en Condiciones Eléctricamente Seguras Modulo 2",,,,"[""A. GATTO"",""P. CENTURIÓN""]",,,"22/05/2024","23/05/2024","Verdadero","Mayo 2024","[""Paso de los Toros""]","CURSO REALIZADO","[""R. Graña""]",,"UTE","False",,"24/05/2024 9:53","Patrone, Federico"
"TCESB","Trabajo en Condiciones Electricamente Seguras Base",,,"[""R. RODRIGUEZ"",""TECNICO SYSO""]",,"09/04/2024","10/04/2024",,,"Verdadero","Abril 2024","[""Virtual""]","CURSO REALIZADO","[""R. Graña""]",,"UTE","False",,"15/04/2024 10:00","Patrone, Federico"
"TEAM6","Tarea en Altura Barquilla. PEP",,,,"[""J. BRIOSSO"",""M.PAEZ""]",,,"10/05/2024","10/05/2024","Verdadero","Mayo 2024","[""Punta del Tigre""]","CURSO REALIZADO","[""M. Iguini""]",,"UTE","False",,"13/05/2024 8:49","Patrone, Federico"
"IDPLA","Interpretación de Planos",,,"[""F. CAYAFA"",""J. PLACERES""]","[""F. CAYAFA"",""J. PLACERES""]","13/05/2024","15/05/2024","16/05/2024","17/05/2024","Verdadero","Mayo 2024","[""Virtual"",""Melilla""]","SUSPENDIDO","[""L.Nogueira""]",,"UTE","False",,"13/05/2024 8:50","Patrone, Federico"
"MOLAT","Mantenimiento de Redes Áreas de TRA",,,"[""D.SECO"",""V. ORFILA""]",,"25/07/2024","26/07/2024",,,"Verdadero","Julio 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]","Validación del curso.","UTE","False",,"07/08/2024 3:47","Patrone, Federico"
"COSEP","Componentes y configuraciones del SEP",,,"[""A. MUSETTI"",""R. RODRIGUEZ""]","[""A. MUSETTI"",""R. RODRIGUEZ""]","01/07/2024","02/07/2024","11/07/2024","11/07/2024","Verdadero","Julio 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"11/07/2024 9:54","Patrone, Federico"
"IDPLA","Interpretación de Planos",,,"[""G. CHARBONNIER"",""F. CAYAFA""]","[""G. CHARBONNIER"",""F. CAYAFA""]","27/05/2024","29/05/2024","30/05/2024","31/05/2024","Verdadero","Mayo 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""L.Nogueira""]",,"UTE","False",,"03/06/2024 4:28","Patrone, Federico"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""V. ORFILA"",""E. VARELA""]","[""V. ORFILA"",""A. GATTO""]","10/06/2024","11/06/2024","13/06/2024","13/06/2024","Verdadero","Junio 2024","[""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"17/06/2024 9:44","Patrone, Federico"
"INSEP","Introducción al SEP",,,"[""M. TRECCA"",""R. RODRIGUEZ""]",,"20/06/2024","21/06/2024",,,"Verdadero","Junio 2024","[""Virtual""]","INSCRIPCIONES REALIZADAS","[""A. Camarri""]",,"UTE","False",,"17/06/2024 8:11","Camarri Cabrera, Angela Abigail"
"IDPLA","Interpretación de Planos",,,"[""F. CAYAFA"",""G.MENDEZ ""]","[""F.CAYAFA"",""G. MENDEZ ""]","24/06/2024","26/06/2024","27/06/2024","28/06/2024","Verdadero","Junio 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""L.Nogueira""]",,"UTE","False",,"05/09/2024 10:07","Camarri Cabrera, Angela Abigail"
"MOLAT","Mantenimiento de Redes Áreas de TRA",,,"[""R. BORDENAVE"",""M. BIANCHI""]",,"28/10/2024","30/10/2024",,,"Verdadero","Octubre 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]",,"UTE","Verdadero",,"31/10/2024 4:28","Patrone, Federico"
"TEAM7","Tarea en altura Equipos de Potencia",,,"[""TECNICO SYSO"",""E. VARELA""]","[""M. ROMERO"",""E. VARELA""]","22/07/2024","23/07/2024","25/07/2024","25/07/2024","Verdadero","Julio 2024","[""Melilla""]","SUSPENDIDO","[""A. Camarri""]",,"UTE","False",,"16/07/2024 4:58","Camarri Cabrera, Angela Abigail"
"TEAM5","Tarea en Altura Torres",,,"[""W. COSTA (DOCENTE EN FORMACIÓN)"",""M. MENDIZABAL""]","[""W. COSTA"",""M. MENDIZABAL""]","24/06/2024","24/06/2024","26/06/2024","27/06/2024","Verdadero","Junio 2024","[""Melilla""]","SUSPENDIDO","[""A. Camarri ""]","Se debe reagendar, no se llegó al mínimo de inscritos para la instancia en junio
","UTE","False",,"21/06/2024 3:35","Romero Ramirez, Diego Miguel"
"TERM1","Termografia Módulo 1",,,"[""R. RODRIGUEZ"",""D. LUBENKO""]","[""R. RODRIGUEZ"",""D. LUBENKO""]","10/06/2024","11/06/2024","13/06/2024","14/06/2024","Verdadero","Junio 2024","[""Virtual"",""Leguizamón""]","CURSO REALIZADO","[""L.Nogueira""]",,"UTE","False",,"17/06/2024 7:45","Nogueira Yañez, Libertad"
"COSEP","Componentes y configuraciones del SEP",,,"[""A. GATTO"",""A. MUSETTI""]","[""A. GATTO"",""A. MUSETTI""]","05/08/2024","06/08/2024","08/08/2024","08/08/2024","Verdadero","Agosto 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto""]",,"UTE","False",,"16/08/2024 10:36","Camarri Cabrera, Angela Abigail"
"COSEP","Componentes y configuraciones del SEP",,,"[""D. GOMEZ"",""R. RODRIGUEZ""]","[""A. GATTO"",""D. GOMEZ""]","16/09/2024","17/09/2024","19/09/2024","19/09/2024","Verdadero","Setiembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"19/09/2024 5:36","Camarri Cabrera, Angela Abigail"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""A. GATTO"",""V. ORFILA""]","[""A. GATTO"",""V. ORFILA""]","22/07/2024","23/07/2024","24/07/2024","24/07/2024","Verdadero","Julio 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"07/08/2024 3:47","Patrone, Federico"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""A. GATTO"",""V. ORFILA""]","[""A. GATTO"",""V. ORFILA""]","29/07/2024","30/07/2024","01/08/2024","01/08/2024","Verdadero","Julio 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""Y.Torrado""]",,"UTE","False",,"07/08/2024 3:47","Patrone, Federico"
"EDMYC","Equipos de Maniobras y Corte",,,"[""A. GATTO"",""A. MUSETTI""]","[""A. GATTO"",""A. MUSETTI""]","15/07/2024","17/07/2024","02/08/2024","02/08/2024","Verdadero","Julio 2024","[""Virtual"",""Melilla""]","SUSPENDIDO","[""L.Nogueira""]",,"UTE","False",,"15/07/2024 11:59","Patrone, Federico"
"INSEP","Introducción al SEP",,,"[""M. TRECCA"",""J.BARATTINI""]",,"29/07/2024","30/07/2024",,,"Verdadero","Julio 2024","[""Virtual""]","CURSO REALIZADO","[""A. Camarri""]",,"UTE","False",,"07/08/2024 3:48","Patrone, Federico"
"IDPLA","Interpretación de Planos",,,"[""G.MENDEZ"",""G. CHARBONNIER""]","[""G.MENDEZ"",""G. CHARBONNIER""]","12/08/2024","14/08/2024","15/08/2024","16/08/2024","Verdadero","Agosto 2024","[""Virtual"",""Melilla""]","SUSPENDIDO","[""J.Barattini"",""A. Camarri""]","Se suspende por falta de 1 instructor ","UTE","False",,"07/08/2024 7:58","Camarri Cabrera, Angela Abigail"
"RRYTP","Trasformadores y Reactores de Potencia MB",,,"[""I.PONCE"",""G. CHARBONNIER""]",,"14/08/2024","15/08/2024",,,"Verdadero","Agosto 2024","[""Virtual""]","CURSO REALIZADO","[""M.Trecca"",""A. Camarri""]","Validación","UTE","False",,"16/08/2024 3:56","Patrone, Federico"
"COSEP","Componentes y configuraciones del SEP",,,"[""R. RODRIGUEZ"",""S. SANTANA"",""J.BARATTINI""]","[""A. GATTO"",""S. SANTANA""]","19/08/2024","20/08/2024","22/08/2024","22/08/2024","Verdadero","Agosto 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto""]",,"UTE","False",,"23/08/2024 5:10","Patrone, Federico"
"TEAMB","Tarea en Altura Módulo Base",,,"[""M. ROMERO"",""TECNICO SYSO""]",,"21/08/2024","22/08/2024",,,"Verdadero","Agosto 2024","[""Melilla""]","CURSO REALIZADO","[""M. Romero"",""A. Camarri""]","Ultima instancia","UTE","False",,"23/08/2024 5:20","Patrone, Federico"
"IDPLA","Interpretación de Planos",,,"[""G.MENDEZ"",""J. PLACERES""]","[""G.MENDEZ"",""J. PLACERES""]","26/08/2024","28/08/2024","29/08/2024","30/08/2024","Verdadero","Agosto 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""J.Barattini"",""A. Camarri""]",,"UTE","False",,"30/08/2024 7:39","Patrone, Federico"
"SSAA1","Servicios Auxiliares 1 CA",,,"[""M. ROMERO"",""J.BARATTINI""]","[""M. ROMERO"",""J.BARATTINI""]","03/09/2024","04/09/2024","06/09/2024","06/09/2024","Verdadero","Setiembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""M. Romero"",""A. Camarri""]","Modifico instructores por correo de G. Charbonnier","UTE","False",,"04/09/2024 5:50","Camarri Cabrera, Angela Abigail"
"SSAA2","Servicios Auxiliares 2 CC",,,"[""M. ROMERO"",""J. PLACERES""]","[""M. ROMERO"",""J. PLACERES""]","09/09/2024","10/09/2024","11/09/2024","11/09/2024","Verdadero","Setiembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""M. Romero"",""A. Camarri""]",,"UTE","False",,"12/09/2024 5:45","Romero Ramirez, Diego Miguel"
"SPAC1","Sistemas de Protección, Automatismo y Control Módulo 1",,,"[""Y. TORRADO""]",,"09/09/2024","12/09/2024","13/09/2024","13/09/2024","False","Setiembre 2024","[""Virtual""]","SUSPENDIDO","[""Y.Torrado""]",,"UTE","False",,"16/08/2024 3:59","Patrone, Federico"
"COSEP","Componentes y configuraciones del SEP",,,"[""A. GATTO"",""J.BARATTINI""]","[""A. GATTO"",""J.BARATTINI""]","30/09/2024","01/10/2024","03/10/2024","03/10/2024","Verdadero","Setiembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""A.Gatto"",""A. Camarri""]",,"UTE","False",,"04/10/2024 11:51","Patrone, Federico"
"IDPLA","Interpretación de Planos",,,"[""J.BARATTINI"",""G.MENDEZ""]","[""J.BARATTINI"",""G. CHARBONNIER""]","16/09/2024","18/09/2024","19/09/2024","20/09/2024","Verdadero","Setiembre 2024","[""Virtual"",""Melilla""]","CURSO REALIZADO","[""J.Barattini"",""A. Camarri""]",,"UTE","False",,"19/09/2024 5:36","Camarri Cabrera, Angela Abigail"
